"Refseq.ID"	"Organism"	"Spacer.Accession"	"Spacer.Start"	"Spacer.End"	"Proto.spacer.Start"	"Proto.spacer.End"	"Source"	"Product"	"Protein.id"	"GO.Function"	"GO.process"	"Gene"	"EC.number"	"TaxID"	"Species"	"Genus"	"Superkingdom"	"Phylum"	"Class"	"Order"	"Family"	"locus_tag"	"CRISPR.Type"
"NZ_PEBQ01000103"	"Acetobacter pomorum strain LHT 2458 NODE_154_length_28470_cov_48.364978"	"NZ_PEBQ01000103.1"	8977	9009	4019	4051	"KE Watters ((PMID:30190307))"	"hypothetical protein"	"WP_099541147.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"65959"	"Acetobacter pomorum"	"Acetobacter"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"CSR02_RS07635"	"No CRISPR type prediction"
"NC_017101"	"Acetobacter pasteurianus IFO 3283-03 plasmid pAPA03-010 DNA"	"NC_017101.1"	124157	124189	1313325	1313357	"KE Watters ((PMID:30190307))"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"634453"	"Acetobacter pasteurianus"	"Acetobacter"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Error: HTTP Error 400: Bad Request"	"I-E"
"NC_013210"	"Acetobacter pasteurianus IFO 3283-01 plasmid pAPA01-011 DNA"	"NC_013210.1"	124529	124561	1312314	1312346	"KE Watters ((PMID:30190307))"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"634452"	"Acetobacter pasteurianus"	"Acetobacter"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Error: HTTP Error 400: Bad Request"	"I-E"
"NZ_LT608315"	"Acidaminococcus massiliensis strain Marseille-P2828"	"NZ_LT608315.1"	2030628	2030662	2046	2080	"KE Watters ((PMID:30190307))"	"polysaccharide deacetylase family protein"	"WP_075578840.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"1852375"	"Acidaminococcus massiliensis"	"Acidaminococcus"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"BQ2657_RS00245
<35"	"I-C"
"NZ_LT608315"	"Acidaminococcus massiliensis strain Marseille-P2828"	"NZ_LT608315.1"	2030431	2030466	1723840	1723875	"KE Watters ((PMID:30190307))"	"Error: 'product' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"Error: 'protein_id' is not in list"	"1852375"	"Acidaminococcus massiliensis"	"Acidaminococcus"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Error: 'locus_tag' is not in list"	"I-C"
"NZ_OLMM01000005"	"Acidaminococcus sp. Marseille-P4266"	"NZ_OLMM01000005.1"	662912	662948	482169	482205	"KE Watters ((PMID:30190307))"	"ABC transporter ATP-binding protein"	"WP_105326905.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"2058289"	"Acidaminococcus sp."	"Acidaminococcus"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"C7E10_RS08660
<37"	"No CRISPR type prediction"
"NZ_LZYG01000245"	"Acidithiobacillus caldus strain ZJ "	"NZ_LZYG01000245.1"	2134	2167	10435	10468	"KE Watters ((PMID:30190307))"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"33059"	"Acidithiobacillus caldus"	"Acidithiobacillus"	"Bacteria"	"Proteobacteria"	"Acidithiobacillia"	"Acidithiobacillales"	"Acidithiobacillaceae"	"Error: HTTP Error 400: Bad Request"	"IV-A2"
"NZ_LZYE01000094"	"Acidithiobacillus caldus strain DX "	"NZ_LZYE01000094.1"	2036	2069	1609	1642	"KE Watters ((PMID:30190307))"	"hypothetical protein"	"WP_070114637.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"33059"	"Acidithiobacillus caldus"	"Acidithiobacillus"	"Bacteria"	"Proteobacteria"	"Acidithiobacillia"	"Acidithiobacillales"	"Acidithiobacillaceae"	"BAE27_RS04405"	"IV-A2"
"NZ_ACVD01000118"	"Acidithiobacillus caldus ATCC 51756 02162006.asm.C118"	"NZ_ACVD01000118.1"	15934	15969	565	600	"KE Watters ((PMID:30190307))"	"IS256 family transposase"	"WP_004870697.1"	"Error: No function id"	"Error: No process id"	"Error: No gene name"	"Error: No EC number"	"637389"	"Acidithiobacillus caldus"	"Acidithiobacillus"	"Bacteria"	"Proteobacteria"	"Acidithiobacillia"	"Acidithiobacillales"	"Acidithiobacillaceae"	"ACA_1516
<1"	"IV-A2"
"NZ_MSKK01000064"	"Actinomyces oris strain R21091 R21091_"	"NZ_MSKK01000064.1"	2202	2230	30634	30662	"KE Watters ((PMID:30190307))"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"Error: HTTP Error 400: Bad Request"	"544580"	"Actinomyces oris"	"Actinomyces"	"Bacteria"	"Actinobacteria"	"Actinomycetia"	"Actinomycetales"	"Actinomycetaceae"	"Error: HTTP Error 400: Bad Request"	"No CRISPR type prediction"
